OrderedID,ZLocation,Z,ZGeocode_na,Zlat,Zlon,UR2022_V1,UR2022_V_1,UR2022_V_2,IUR2022_V1,IUR2022_1,LAND_AREA,AREA_SQ_KM,Shape_Leng,Xcoordinate,Ycoordinate
0,Kaitaia,0.1,Kaitaia,-35.1127598,173.2677315,1007,Kaitāia,Kaitaia,14,Small urban area,8.47857741,8.47857741,16162.1353158975,173.261974216,-35.1087772609999
1,,,,,,1025,Kerikeri,Kerikeri,14,Small urban area,25.39482479,25.39482479,42815.273689423,173.958389289,-35.229696132
2,,,,,,1031,Haruru,Haruru,14,Small urban area,1.52723263,1.52723263,8067.418693027,174.05443372,-35.2796160129999
3,Paihia,0.1,Paihia,-35.2818684,174.0896775,1032,Paihia,Paihia,14,Small urban area,2.24160101,2.24160101,10583.5933830473,174.086662357,-35.2833013159999
4,,,,,,1034,Ōpua,Opua,14,Small urban area,5.60752911,5.60752911,19773.7433256191,174.102023873,-35.308754526
5,,,,,,1037,Kawakawa,Kawakawa,14,Small urban area,1.73138109,1.73138109,8878.87194794699,174.069512926,-35.3815786399999
6,,,,,,1035,Moerewa,Moerewa,14,Small urban area,1.87566952,1.87566952,10465.7033071813,174.022432253,-35.3855334249999
7,Kaikohe,0.1,Kaikohe,-35.4069776,173.8048386,1026,Kaikohe,Kaikohe,14,Small urban area,5.67503558,5.67503558,14225.5484384248,173.797675037,-35.4079242789999
8,,,,,,1039,Hikurangi,Hikurangi,14,Small urban area,4.00139063,4.00139063,12220.704048467,174.287163809,-35.594483779
9,,,,,,1044,Ngunguru,Ngunguru,14,Small urban area,3.56894133,3.56894133,17820.8750198501,174.506629611,-35.628922131
10,Whangarei,0.1,Whangarei,-35.7275268,174.3194202,1043,Whangārei,Whangarei,12,Large urban area,57.05568743,57.05568743,73989.712730031,174.317505613,-35.7193670739999
11,,,,,,1049,One Tree Point,One Tree Point,14,Small urban area,2.57796449,2.57796449,8561.78148603546,174.459685909,-35.830267309
12,,,,,,1050,Ruakākā,Ruakaka,14,Small urban area,15.59194583,15.59194583,22737.078049447,174.457089403,-35.8786744189999
13,Dargaville,0.1,Dargaville,-35.9412143,173.8685702,1055,Dargaville,Dargaville,14,Small urban area,12.55901038,12.55901038,21534.1362889541,173.865240717,-35.939201098
14,,,,,,1052,Waipū,Waipu,14,Small urban area,2.89308709,2.89308709,10121.0858031729,174.444430734,-35.9828634859999
15,,,,,,1063,Mangawhai Heads,Mangawhai Heads,14,Small urban area,6.98753193,6.98753193,14756.6429326517,174.584069709,-36.0944236179999
16,,,,,,1068,Wellsford,Wellsford,14,Small urban area,4.55290152,4.55290152,11565.1050966253,174.521527745,-36.292848879
17,Warkworth,0.13,Warkworth,-36.3984914,174.6642316,1071,Warkworth,Warkworth,14,Small urban area,15.58174498,15.58174498,28006.2867342909,174.65602281,-36.393361947
18,,,,,,1082,Snells Beach,Snells Beach,14,Small urban area,3.82784102,3.82784102,13976.6324195655,174.725190745,-36.4202431699999
19,,,,,,1093,Hibiscus Coast,Hibiscus Coast,12,Large urban area,42.89921149,43.1456661,87448.154166466,174.733321579,-36.611165843
20,,,,,,1081,Parakai,Parakai,14,Small urban area,1.45487644,1.45487644,7121.77986863425,174.435992889,-36.657634625
21,,,,,,1085,Helensville,Helensville,14,Small urban area,3.36569679,3.36569679,16088.9270007839,174.454252991,-36.674969145
22,,,,,,1128,Coromandel,Coromandel,14,Small urban area,10.88722228,10.88722228,33805.0494961635,175.495709011,-36.7557679999999
23,,,,,,1097,Riverhead,Riverhead,14,Small urban area,4.04958284,4.04958284,12661.5404543033,174.583702235,-36.758099891
24,,,,,,1094,Kumeū-Huapai,Kumeu-Huapai,14,Small urban area,6.32217318,6.32217318,16724.8831150179,174.542863842,-36.7699856089999
25,,,,,,1091,Waimauku,Waimauku,14,Small urban area,5.63250721,5.63250721,16826.0926465592,174.479040277,-36.777278079
26,,,,,,1111,Waiheke West,Waiheke West,14,Small urban area,24.5819334,24.5819334,66044.1992454207,175.036738316,-36.790262657
27,,,,,,1134,Whitianga,Whitianga,14,Small urban area,17.34026284,17.38861535,30123.1724429851,175.690652808,-36.8179349009999
28,,,,,,1092,Muriwai,Muriwai,14,Small urban area,3.01508521,3.01508521,11909.546018303,174.429226671,-36.8252434569999
29,Auckland,0.13,Auckland,-36.852095,174.7631803,1108,Auckland,Auckland,11,Major urban area,607.27755744,609.21368499,740884.753536448,174.7631803,-36.852095
30,,,,,,1116,Maraetai,Maraetai,14,Small urban area,6.87636613,6.87636613,15451.1505326104,175.037965075,-36.887738895
31,,,,,,1115,Beachlands-Pine Harbour,Beachlands-Pine Harbour,14,Small urban area,8.8234976,8.922972,20351.2898646626,175.002188929,-36.894145001
32,Manukau City,0.13,Manakau City,-36.99,174.89,,Manukau City,Manukau City,,Urban,0,0,0,174.882064781,-36.9917128239999
33,,,,,,1143,Tairua,Tairua,14,Small urban area,4.17248365,4.17248365,20383.34455946,175.849700811,-37.000337067
34,,,,,,1144,Pāuanui,Pauanui,14,Small urban area,9.90436065,9.90436065,27248.8006291771,175.84674578,-37.040708701
